1password-cli 2.34.0-1
7zip 26.00-1
aalib 1.4rc5-19
abseil-cpp 20260107.1-1
accounts-qml-module 0.7-7
accountsservice 26.13.3-1
acl 2.3.2-2
ada 3.4.4-1
adwaita-cursors 50.0-1
adwaita-fonts 50.0-1
adwaita-icon-theme 50.0-1
adwaita-icon-theme-legacy 46.2-3
aether 4.15.2-1
aha 0.5.1-3
alacritty 0.17.0-1
alsa-card-profiles 1:1.6.4-1
alsa-lib 1.2.15.3-2
alsa-plugins 1:1.2.12-5
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.15.3-1
aom 3.13.3-1
apache 2.4.66-2
appstream 1.1.2-1
appstream-glib 0.8.3-4
appstream-qt 1.1.2-1
apr 1.7.6-1
apr-util 1.6.3-2
aquamarine 0.10.0-4
archlinux-appstream-data 20260421-1
archlinux-keyring 20260420-1
argon2 20190702-6
asdcontrol 0.23.0ee8bd5-1
aspnet-runtime 10.0.4.sdk104-1
aspnet-runtime-9.0 9.0.14.sdk115-1
at-spi2-core 2.60.1-1
atkmm 2.28.4-2
attica 6.25.0-1
attr 2.5.2-2
audit 4.1.4-2
aurorae 6.6.4-1
autoconf 2.73-1
autoconf-archive 1:2024.10.16-4
automake 1.18.1-1
avahi 1:0.9rc4-1
ayatana-ido 0.10.4-1
babl 0.1.126-1
baloo 6.25.0-1
baloo-widgets 26.04.0-1
baobab 50.0-1
base 3-3
base-devel 1-2
bash 5.3.9-1
bash-completion 2.17.0-3
bat 0.26.1-2
binutils 2.46-1
bison 3.8.2-8
blas 3.12.1-2
bluedevil 1:6.6.4-1
bluetui 0.8.1-2
bluez 5.86-5
bluez-libs 5.86-5
bluez-obex 5.86-5
bluez-qt 6.25.0-1
bluez-utils 5.86-5
bolt 0.9.11-1
boost-libs 1.90.0-4
botan 3.11.1-1
breeze 6.6.4-1
breeze-cursors 6.6.4-1
breeze-gtk 6.6.4-1
breeze-icons 6.25.0-1
brightnessctl 0.5.1-3
brltty 6.9.1-1
brotli 1.2.0-1
btop 1.4.6-2
bubblewrap 0.11.1-1
bzip2 1.0.8-6
c-ares 1.34.6-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.123-1
ca-certificates-utils 20240618-1
cabextract 1.11-2
cairo 1.18.4-1
cairomm 1.14.5-3
cairomm-1.16 1.18.0-2
calibre 8.7.0-10
callaudiod 0.1.99-3
capstone 5.0.7-2
cblas 3.12.1-2
cdparanoia 10.2-9
cdrtools 3.02a09-6
cef 146.0.11-1
chatty 0.8.9-3
chmlib 0.40-10
chromaprint 1.6.0-3
chromium 147.0.7727.101-1
cifs-utils 7.5-1
cinnamon 6.6.8-1
cinnamon-control-center 6.6.0-3
cinnamon-desktop 6.6.2-2
cinnamon-menus 6.6.0-1
cinnamon-screensaver 6.6.1-3
cinnamon-session 6.6.3-2
cinnamon-settings-daemon 6.6.3-2
cinnamon-translations 6.6.2-1
cjs 128.1-2
clang 22.1.3-1
clang21 21.1.8-1
clinfo 3.0.25.02.14-1
clucene 2.3.3.4-17
cmake 4.3.2-1
cmark 0.31.2-1
colord 1.4.8-1
colord-gtk-common 0.3.1-1
colord-gtk4 0.3.1-1
colord-sane 1.4.8-1
compiler-rt 22.1.3-1
compiler-rt21 21.1.8-1
composefs 1.0.8-1
confuse 3.3-5
containerd 2.2.3-1
convertlit 1.8-13
coreutils 9.10-1
cppdap 1.58.0-3
cracklib 2.10.3-1
cryptsetup 2.8.6-1
ctags 1:6.2.1-1
cups 2:2.4.18-1
cups-browsed 2.1.1-1
cups-filters 2.0.1-2
cups-pdf 3.0.2-1
cups-pk-helper 0.2.7-2
curl 8.19.0-1
cursor-bin 3.2.16-1
d-spy 50.0-1
dav1d 1.5.3-1
db5.3 5.3.28-7
dbus 1.16.2-1
dbus-broker 37-3
dbus-broker-units 37-3
dbus-glib 0.114-1
dbus-units 37-3
dconf 0.49.0-1
dconf-editor 49.0-1
ddcutil 2.2.6-1
debugedit 5.2-1
decibels 49.6.1-1
default-cursors 3-1
desktop-file-utils 0.28-1
device-mapper 2.03.39-1
diffutils 3.12-2
discount 3.0.1.2-1
discover 6.6.4-1
djvulibre 3.5.29-2
dkms 3.4.0-1
dmenu 5.4-1
dmidecode 3.7-1
docbook-xml 4.5-11
docbook-xsl 1.79.2-9
docker 1:29.4.1-1
docker-buildx 0.33.0-1
docker-compose 5.1.3-1
dolphin 26.04.0-1
dosfstools 4.2-5
dotconf 1.4.1-1
dotnet-host 10.0.4.sdk104-1
dotnet-runtime 10.0.4.sdk104-1
